access,bicycle,foot,footway,highway,junction,lanes,lit,maxspeed,name,oneway,service,sidewalk,smoothness,surface,tunnel,id,timestamp,version,tags,osm_type,geometry,length
,,,,unclassified,,,,,Corso Grosseto,yes,,,,asphalt,,38281824,0,-1,"{""visible"":false}",way,"MULTILINESTRING ((7.6436028480529785 45.106292724609375, 7.643768310546875 45.10629653930664), (7.643768310546875 45.10629653930664, 7.643820762634277 45.10629653930664), (7.643820762634277 45.10629653930664, 7.643897533416748 45.10629653930664), (7.643897533416748 45.10629653930664, 7.643959045410156 45.10629653930664), (7.643959045410156 45.10629653930664, 7.644023418426514 45.106292724609375), (7.644023418426514 45.106292724609375, 7.6445207595825195 45.10627746582031), (7.6445207595825195 45.10627746582031, 7.644601821899414 45.10627365112305), (7.644601821899414 45.10627365112305, 7.644661903381348 45.10627365112305), (7.644661903381348 45.10627365112305, 7.64469051361084 45.10627365112305), (7.64469051361084 45.10627365112305, 7.644719123840332 45.10627746582031), (7.644719123840332 45.10627746582031, 7.64475154876709 45.10627746582031), (7.64475154876709 45.10627746582031, 7.644781112670898 45.10628128051758), (7.644781112670898 45.10628128051758, 7.644805431365967 45.106285095214844), (7.644805431365967 45.106285095214844, 7.644830703735352 45.106292724609375), (7.644830703735352 45.106292724609375, 7.644850254058838 45.106300354003906), (7.644850254058838 45.106300354003906, 7.644873142242432 45.106319427490234), (7.644873142242432 45.106319427490234, 7.644890308380127 45.10633850097656), (7.644890308380127 45.10633850097656, 7.644900798797607 45.10635757446289), (7.644900798797607 45.10635757446289, 7.644908905029297 45.106380462646484), (7.644908905029297 45.106380462646484, 7.644913673400879 45.10640335083008), (7.644913673400879 45.10640335083008, 7.644913196563721 45.10641860961914), (7.644913196563721 45.10641860961914, 7.6449079513549805 45.10643768310547), (7.6449079513549805 45.10643768310547, 7.644898891448975 45.1064567565918), (7.644898891448975 45.1064567565918, 7.644886493682861 45.10647201538086), (7.644886493682861 45.10647201538086, 7.644875526428223 45.10647964477539), (7.644875526428223 45.10647964477539, 7.644864082336426 45.10648727416992), (7.644864082336426 45.10648727416992, 7.644845008850098 45.10649490356445), (7.644845008850098 45.10649490356445, 7.644822120666504 45.106502532958984), (7.644822120666504 45.106502532958984, 7.644794464111328 45.10650634765625), (7.644794464111328 45.10650634765625, 7.644767761230469 45.106510162353516), (7.644767761230469 45.106510162353516, 7.644750118255615 45.10651397705078), (7.644750118255615 45.10651397705078, 7.644066333770752 45.106544494628906), (7.644066333770752 45.106544494628906, 7.644017219543457 45.10654830932617), (7.644017219543457 45.10654830932617, 7.6439619064331055 45.1065559387207), (7.6439619064331055 45.1065559387207, 7.64390754699707 45.10655975341797), (7.64390754699707 45.10655975341797, 7.643856525421143 45.1065673828125), (7.643856525421143 45.1065673828125, 7.643806457519531 45.10657501220703), (7.643806457519531 45.10657501220703, 7.643760681152344 45.10658264160156), (7.643760681152344 45.10658264160156, 7.643693447113037 45.106597900390625), (7.643693447113037 45.106597900390625, 7.643560409545898 45.10662078857422))",226.0
,,,,unclassified,,1,,,Corso Grosseto,yes,,,,asphalt,,38281825,0,-1,"{""visible"":false}",way,"MULTILINESTRING ((7.645910263061523 45.10649871826172, 7.645762920379639 45.10647964477539), (7.645762920379639 45.10647964477539, 7.645725727081299 45.10647201538086), (7.645725727081299 45.10647201538086, 7.645686626434326 45.10646057128906), (7.645686626434326 45.10646057128906, 7.64565372467041 45.106449127197266), (7.64565372467041 45.106449127197266, 7.645627975463867 45.10643768310547), (7.645627975463867 45.10643768310547, 7.645608901977539 45.106422424316406), (7.645608901977539 45.106422424316406, 7.645593643188477 45.10641098022461), (7.645593643188477 45.10641098022461, 7.645580291748047 45.10639572143555), (7.645580291748047 45.10639572143555, 7.645569324493408 45.106380462646484), (7.645569324493408 45.106380462646484, 7.645562171936035 45.10636520385742), (7.645562171936035 45.10636520385742, 7.645556449890137 45.106346130371094), (7.645556449890137 45.106346130371094, 7.645553112030029 45.106327056884766), (7.645553112030029 45.106327056884766, 7.645553112030029 45.1063117980957), (7.645553112030029 45.1063117980957, 7.64555549621582 45.106292724609375), (7.64555549621582 45.106292724609375, 7.645564556121826 45.10627746582031), (7.645564556121826 45.10627746582031, 7.645577907562256 45.106258392333984), (7.645577907562256 45.106258392333984, 7.645603656768799 45.10624313354492), (7.645603656768799 45.10624313354492, 7.645627498626709 45.10622787475586), (7.645627498626709 45.10622787475586, 7.645650386810303 45.10621643066406), (7.645650386810303 45.10621643066406, 7.6456756591796875 45.10620880126953), (7.6456756591796875 45.10620880126953, 7.645862102508545 45.106163024902344))",70.0
,,,,residential,,,yes,,Via dei Ciclamini,,,,,asphalt,,38670301,0,-1,"{""visible"":false}",way,"MULTILINESTRING ((7.630670070648193 45.10700607299805, 7.630637168884277 45.10693359375), (7.630637168884277 45.10693359375, 7.630514621734619 45.10662078857422), (7.630514621734619 45.10662078857422, 7.630451679229736 45.106422424316406), (7.630451679229736 45.106422424316406, 7.63040828704834 45.10623550415039))",88.0
,,,,unclassified,,,,,Corso Ferrara,yes,,,,asphalt,,38670302,0,-1,"{""visible"":false,""cycleway:both"":""no""}",way,"MULTILINESTRING ((7.635847568511963 45.10683822631836, 7.6365275382995605 45.10671615600586), (7.6365275382995605 45.10671615600586, 7.6368088722229 45.106666564941406))",78.0
,,,,tertiary,,,yes,,Corso Molise,yes,,,,asphalt,,38670303,0,-1,"{""visible"":false}",way,"MULTILINESTRING ((7.6380767822265625 45.106597900390625, 7.638073921203613 45.10651397705078), (7.638073921203613 45.10651397705078, 7.638064384460449 45.106266021728516))",37.0
,,,,unclassified,,,,,Corso Molise,yes,,,,asphalt,,38670306,0,-1,"{""visible"":false}",way,"MULTILINESTRING ((7.638554573059082 45.10625457763672, 7.638498783111572 45.10634231567383), (7.638498783111572 45.10634231567383, 7.638477325439453 45.10639190673828), (7.638477325439453 45.10639190673828, 7.6384501457214355 45.1064567565918), (7.6384501457214355 45.1064567565918, 7.638426303863525 45.10649490356445), (7.638426303863525 45.10649490356445, 7.638395309448242 45.106536865234375), (7.638395309448242 45.106536865234375, 7.638335704803467 45.10658264160156), (7.638335704803467 45.10658264160156, 7.638266563415527 45.106693267822266), (7.638266563415527 45.106693267822266, 7.638224124908447 45.10676193237305), (7.638224124908447 45.10676193237305, 7.638180732727051 45.106834411621094), (7.638180732727051 45.106834411621094, 7.638094425201416 45.1069450378418))",85.0
,,,,tertiary,,3,,50,Strada di Altessano,yes,,,,asphalt,,49012166,0,-1,"{""visible"":false}",way,"MULTILINESTRING ((7.645315170288086 45.106075286865234, 7.645309925079346 45.10611343383789), (7.645309925079346 45.10611343383789, 7.6453046798706055 45.1061897277832))",13.0
,,,,unclassified,,,,,Corso Novara,,,,,asphalt,,60077189,0,-1,"{""visible"":false,""cycleway:both"":""no""}",way,"MULTILINESTRING ((7.6336212158203125 45.113162994384766, 7.633622646331787 45.11308670043945))",8.0
,,,,secondary,,,,,Corso Ferrara,yes,,,,asphalt,,62368328,0,-1,"{""visible"":false,""cycleway:right"":""no""}",way,"MULTILINESTRING ((7.638424396514893 45.106815338134766, 7.638275623321533 45.10682678222656))",12.0
,,,,unclassified,,,yes,,Corso Ferrara,yes,,,,asphalt,,62368330,0,-1,"{""visible"":false}",way,"MULTILINESTRING ((7.638350486755371 45.106929779052734, 7.638094425201416 45.1069450378418), (7.638094425201416 45.1069450378418, 7.637982368469238 45.10694885253906), (7.637982368469238 45.10694885253906, 7.637413501739502 45.10698318481445), (7.637413501739502 45.10698318481445, 7.633495330810547 45.107208251953125), (7.633495330810547 45.107208251953125, 7.633447170257568 45.10721206665039), (7.633447170257568 45.10721206665039, 7.63328742980957 45.10721969604492), (7.63328742980957 45.10721969604492, 7.633144378662109 45.10722732543945), (7.633144378662109 45.10722732543945, 7.630626678466797 45.10737228393555), (7.630626678466797 45.10737228393555, 7.6304521560668945 45.10737991333008), (7.6304521560668945 45.10737991333008, 7.629265308380127 45.1074333190918), (7.629265308380127 45.1074333190918, 7.62924337387085 45.1074333190918), (7.62924337387085 45.1074333190918, 7.629222393035889 45.10743713378906), (7.629222393035889 45.10743713378906, 7.629180908203125 45.10743713378906), (7.629180908203125 45.10743713378906, 7.629072189331055 45.107444763183594))",730.0
,,,,secondary,,,,,Corso Grosseto,yes,,,,asphalt,,62368334,0,-1,"{""visible"":false,""cycleway:right"":""no""}",way,"MULTILINESTRING ((7.638266563415527 45.106693267822266, 7.638420104980469 45.106685638427734))",12.0
,,,,tertiary,,4,,50,Corso Giuseppe Garibaldi,no,,,,asphalt,,69634770,0,-1,"{""visible"":false}",way,"MULTILINESTRING ((7.645417213439941 45.11199951171875, 7.645413398742676 45.112098693847656))",11.0
