Latitude,Longitude
-3.7829,121.7792
-3.7706,116.2693
-3.7636,116.2683
-3.5753,115.875
-3.5275,126.6697
-3.5246,126.6652
-3.5006,126.9246
-3.4471,119.8867
-3.4417,119.885
-3.43,126.9828
-3.4286,116.2454
-3.4227,116.2436
-3.4216,116.2444
-3.3978,119.9559
-3.3879,127.0005
-3.3706,127.1642
-3.273,115.6995
-3.2344,121.6332
-3.2117,122.1851
-3.1914,119.4346
-3.1744,119.1415
-3.174,119.145
-3.1738,119.1458
-3.1446,119.1835
-3.14,122.1386
-3.1327,119.144
-3.1048,128.0064
-3.1014,128.0059
-2.9009,115.809
-2.7878,120.4482
-2.7869,120.449
-2.584,120.7008
-2.5604,115.6759
-2.2998,119.9451
-2.2992,119.9486
-2.2987,119.9522
-2.283,116.0809
-2.2309,119.9127
-2.2269,119.9128
-2.1748,119.3894
-2.1086,119.4883
-2.0821,119.4843
-2.0807,119.4841
-2.0225,119.3481
-1.9858,119.4807
-1.9852,119.4845
-1.952,121.1372
-1.9224,121.0243
-1.9169,121.0266
-1.8066,120.9098
-1.6553,119.9523
-1.4916,121.6079
-1.4249,119.3181
-1.423,119.4045
-1.1514,119.9418
-1.1012,121.5344
-1.0367,119.6437
-0.9395,119.8506
-0.9346,119.9313
-0.933,119.9319
-0.9267,123.3426
-0.1758,116.6536
-0.1754,116.6557
-0.0171,117.243
0.1364,116.7373
0.4796,128.0005
0.4801,128.004
0.4806,128.0075
0.4819,127.9931
0.4847,127.9891
0.4852,127.9926
0.4874,127.9852
0.4984,122.74
0.6334,124.0231
0.6376,127.9688
0.6415,127.9718
0.6512,121.8577
0.6822,123.1452
0.6977,123.1625
0.7234,122.2493
0.7237,122.2481
0.7849,123.3787
0.7852,123.3784
0.7996,124.0857
0.8018,123.6803
0.8025,122.9161
0.8129,123.3706
0.8135,124.124
1.4191,127.9314
1.6595,118.0018
1.6597,118.0042
1.6915,117.9425
2.7814,125.4067
-8.9431,117.2104
-8.9395,117.2092
-8.8581,116.5247
-8.7399,118.2491
-8.6646,118.1561
-8.6619,117.5459
-8.5838,118.8954
-8.5016,117.4698
-8.4958,118.3647
-8.4942,117.62
-8.4937,118.3635
-8.4824,117.2891
-8.4779,117.6008
-8.4778,117.599
-8.4704,117.6049
-8.4693,117.6085
-8.412,117.979
-8.3692,112.5061
-8.3655,117.8755
-8.3602,118.8359
-8.3435,118.741
-8.3423,118.7436
-8.3423,118.7472
-8.3411,118.7496
-8.3102,112.2173
-8.3062,115.5272
-8.3046,115.5268
-8.3045,115.5049
-8.3026,115.5046
-8.3019,115.5189
-8.3019,115.509
-8.3011,115.5135
-8.301,115.5237
-8.3002,115.5183
-8.2994,115.5231
-8.2975,115.5107
-8.2967,115.5152
-8.295,115.5145
-8.2907,117.8131
-8.2891,117.8133
-8.2424,113.6232
-8.2219,118.1578
-8.2192,118.1569
-8.1995,113.5771
-8.199,113.58
-8.1729,117.6186
-8.159,113.3631
-8.1577,113.3764
-8.1561,113.3801
-8.1547,113.3643
-8.1306,113.9433
-8.1152,112.9262
-8.1136,112.9318
-8.0589,111.0082
-8.057,114.1483
-8.0476,111.4787
-8.0467,111.4797
-8.0428,114.1377
-8.0394,114.217
-8.0388,114.22
-8.0383,114.2229
-8.034,114.217
-8.0334,114.22
-7.9992,112.5724
-7.9985,114.2358
-7.9979,114.2367
-7.9959,114.2178
-7.9959,114.2197
-7.9944,111.3642
-7.9936,114.2308
-7.9907,114.2181
-7.9903,114.2188
-7.9903,114.2207
-7.9898,114.2215
-7.9838,114.2267
-7.9768,112.5623
-7.9749,112.5638
-7.9714,111.8921
-7.9699,111.8887
-7.9425,113.0128
-7.9175,110.9724
-7.8687,114.1449
-7.8492,111.7986
-7.7982,110.7257
-7.7491,110.9169
-7.6832,110.6365
-7.6198,111.2261
-7.3639,112.7503
-5.8848,106.0601
-5.7928,105.6922
-5.7725,105.7579
-5.7313,105.7589
-5.6611,105.5748
-5.6151,105.7626
-5.4708,104.3262
-5.4601,105.4026
-5.4464,105.4255
-5.4334,104.147
-5.396,105.0008
-5.3715,105.3169
-5.2891,104.8773
-5.1831,105.8143
-5.1826,105.8178
-5.1787,105.8209
-5.1759,105.8168
-5.1753,105.8204
-5.047,105.1304
-5.0165,105.0646
-4.9522,103.987
-4.9243,105.4902
-4.7966,104.7258
-4.7807,105.2987
-4.7322,104.6344
-4.7162,104.6956
-4.6649,104.6759
-4.6574,105.6805
-4.6532,105.7747
-4.647,105.7701
-4.6152,104.3083
-4.6108,104.8763
-4.6105,105.7716
-4.6075,104.8758
-4.5929,104.5698
-4.587,104.5866
-4.5835,104.6989
-4.5794,105.8623
-4.5693,104.7922
-4.5657,105.7941
-4.5653,104.8411
-4.5623,105.7936
-4.555,104.3486
-4.5531,104.2496
-4.5525,104.253
-4.5318,105.3059
-4.5313,105.3094
-4.5305,104.7789
-4.5236,104.9589
-4.5234,104.513
-4.5155,104.1162
-4.5107,105.3997
-4.5045,105.3952
-4.4847,105.0805
-4.481,104.5913
-4.457,105.3301
-4.4533,104.5722
-4.4523,104.5791
-4.4348,104.5377
-4.4215,104.2678
-4.402,105.1321
-4.3867,104.7211
-4.3775,104.6702
-4.3683,104.6865
-4.3664,104.1604
-4.3588,104.6815
-4.358,104.2156
-4.341,104.2166
-4.3276,104.2604
-4.3243,104.2599
-4.3142,104.7062
-4.2382,105.5817
-4.2231,104.7482
-4.2059,104.1663
-4.1905,105.0064
-4.1899,105.0099
-4.1876,105.0052
-4.187,105.0087
-4.1503,105.6484
-4.1489,114.7134
-4.1486,114.7148
-4.1482,114.7174
-4.1477,105.7102
-4.1435,114.7098
-4.1431,114.7124
-4.1128,114.6798
-4.1071,105.2431
-4.0704,105.4393
-4.0538,105.4803
-4.0523,105.5127
-4.0473,105.3888
-4.0139,104.3833
-4.0092,104.5483
-4.009,104.5271
-3.9751,114.6835
-3.9679,105.4663
-3.9673,105.4699
-3.9539,104.5329
-3.9506,104.5324
-3.9364,105.23
-3.9324,116.1831
-3.9315,116.1883
-3.9252,116.1872
-3.9224,104.5383
-3.9196,104.5344
-3.919,104.5378
-3.9177,105.5023
-3.9131,104.6216
-3.9097,105.6214
-3.9066,105.5298
-3.906,105.8713
-3.9031,105.4856
-3.9003,105.4816
-3.8973,105.4877
-3.8867,105.1974
-3.8838,105.2616
-3.8823,105.4964
-3.8804,105.2611
-3.8782,105.2536
-3.875,105.4989
-3.8669,114.7244
-3.861,105.3663
-3.8587,104.5781
-3.8571,105.4816
-3.8565,105.4852
-3.8565,104.5707
-3.856,105.4887
-3.855,116.1268
-3.8542,105.4776
-3.8537,105.4811
-3.8532,105.4847
-3.8501,105.8963
-3.8327,105.4163
-3.8267,105.5681
-3.8248,105.3789
-3.8237,105.2343
-3.8233,105.5676
-3.8209,105.2302
-3.8142,105.2292
-3.802,105.7515
-3.7993,105.5895
-3.7986,105.751
-3.793,105.7427
-3.7924,105.7463
-3.7908,103.8159
-3.7901,105.7386
-3.7896,105.7422
-3.7869,103.8189
-3.7854,104.7041
-3.777,105.5421
-3.7737,105.5416
-3.7735,104.6034
-3.7709,105.4466
-3.7702,104.6029
-3.765,116.2675
-3.764,116.2729
-3.7632,105.7788
-3.7632,116.2705
-3.7626,105.7824
-3.761,104.6191
-3.761,105.7933
-3.7604,105.7747
-3.7564,115.0689
-3.7557,115.0733
-3.7538,115.0669
-3.753,115.0714
-3.7512,115.0634
-3.7507,114.6356
-3.7505,115.0679
-3.7497,115.0724
-3.7497,105.5635
-3.7491,105.5671
-3.7448,105.3702
-3.7443,105.3737
-3.7432,105.3808
-3.742,105.3661
-3.7415,105.3697
-3.7349,103.7368
-3.732,104.7208
-3.7276,105.3712
-3.7261,103.6386
-3.7248,105.3671
-3.7243,105.8209
-3.7233,103.6346
-3.7231,105.5121
-3.7227,103.6381
-3.7226,105.5156
-3.7214,105.3666
-3.7197,105.3555
-3.7191,105.359
-3.7186,105.3626
-3.7182,105.4096
-3.7181,105.3661
-3.717,105.5294
-3.717,105.3732
-3.7166,105.4202
-3.7158,105.3585
-3.7149,105.5436
-3.6965,105.3803
-3.6956,104.6018
-3.6954,105.297
-3.6942,103.8496
-3.6924,105.5329
-3.6902,105.7491
-3.6901,105.6828
-3.6897,105.7528
-3.6896,105.5288
-3.6822,104.5786
-3.6822,104.7129
-3.6765,105.399
-3.6593,105.7926
-3.6559,105.7921
-3.6519,105.3808
-3.6494,104.6832
-3.6485,105.3803
-3.6452,105.3798
-3.6446,105.3833
-3.6399,103.7602
-3.6302,105.2764
-3.623,105.3005
-3.6226,105.731
-3.6225,105.3041
-3.6224,115.6463
-3.622,105.7346
-3.6215,105.7382
-3.6197,105.3
-3.6192,105.7305
-3.6187,105.7341
-3.618,105.2889
-3.617,105.7449
-3.6165,105.7486
-3.6163,105.2995
-3.6158,105.73
-3.6153,105.7336
-3.6152,105.2849
-3.6147,105.7372
-3.6146,105.2884
-3.6141,105.292
-3.6135,105.2955
-3.6124,105.3025
-3.6119,105.7331
-3.6113,105.7367
-3.6107,105.2915
-3.6102,105.295
-3.6096,105.2985
-3.6009,104.846
-3.5998,114.751
-3.5939,104.6466
-3.5934,104.65
-3.5916,114.77
-3.5911,114.7668
-3.5904,114.771
-3.5884,104.6161
-3.5878,104.6195
-3.5869,115.485
-3.5858,114.7691
-3.5845,104.619
-3.5837,104.6472
-3.5831,104.6506
-3.5803,104.6467
-3.5798,104.6501
-3.5771,115.8761
-3.5704,105.598
-3.5637,114.7567
-3.55,114.6949
-3.5455,104.6308
-3.5398,104.6901
-3.5381,104.612
-3.5381,104.9704
-3.5369,105.7476
-3.5355,104.6293
-3.5332,114.688
-3.5327,104.6254
-3.5324,105.7543
-3.5322,104.6288
-3.5317,104.6323
-3.5304,114.7046
-3.5294,104.6249
-3.5289,104.6283
-3.5253,114.6996
-3.5239,114.85
-3.5227,104.6911
-3.5224,105.653
-3.5191,104.6481
-3.5099,105.3518
-3.5094,105.3554
-3.5088,105.3589
-3.5082,105.3407
-3.5076,105.3443
-3.5071,105.3478
-3.5068,105.4166
-3.5066,105.3513
-3.5063,105.4202
-3.5063,114.6748
-3.506,105.3549
-3.5056,114.679
-3.5055,105.3584
-3.5054,114.6751
-3.5054,105.3367
-3.5048,105.3402
-3.5047,114.6793
-3.5043,104.6564
-3.5042,114.6873
-3.5038,105.2353
-3.5035,105.4161
-3.5029,105.4197
-3.5022,104.6703
-3.5016,105.2337
-3.5015,104.6525
-3.5011,114.6698
-3.5004,114.6739
-3.5003,114.6701
-3.4998,104.8863
-3.4996,114.6742
-3.4976,104.6554
-3.4963,114.6989
-3.4959,114.6647
-3.4956,114.703
-3.4955,105.2292
-3.4953,114.6991
-3.4953,114.6688
-3.4952,114.665
-3.4946,114.7033
-3.4946,114.673
-3.4945,114.6692
-3.4939,114.6771
-3.4938,114.6733
-3.4932,105.6633
-3.493,114.6774
-3.4927,105.2252
-3.4921,105.2287
-3.4915,114.6555
-3.4901,114.6638
-3.4894,114.7407
-3.4894,114.6679
-3.4887,114.6721
-3.4887,105.67
-3.4882,114.7408
-3.4833,104.6604
-3.4768,105.1724
-3.4743,114.8331
-3.4695,105.1749
-3.4668,115.9738
-3.4667,105.6556
-3.4661,105.6592
-3.4659,111.9575
-3.4653,104.8455
-3.4647,104.849
-3.4623,111.9184
-3.4619,104.845
-3.4605,115.9728
-3.4586,104.8445
-3.4575,113.729
-3.4574,113.7277
