Jumlah,Latitude,Longitude
1,-3.64937,104.68317
1,-3.60086,104.84597
1,-3.5939,104.64655
1,-3.59337,104.65001
1,-3.58836,104.61605
1,-3.58784,104.61951
1,-3.58453,104.61901
1,-3.58365,104.64716
1,-3.58313,104.65061
1,-3.58034,104.64666
1,-3.57981,104.65012
1,-3.54545,104.63081
1,-3.53984,104.69009
1,-3.53813,104.61204
1,-3.5381,104.97041
1,-3.5355,104.62931
1,-3.53271,104.62536
1,-3.53219,104.62881
1,-3.53166,104.63227
1,-3.5294,104.62486
1,-3.52887,104.62831
1,-3.52273,104.69106
1,-3.51909,104.64806
1,-3.50425,104.65644
1,-3.50215,104.67028
1,-3.50146,104.65249
1,-3.49983,104.88628
1,-3.49762,104.65544
1,-3.4833,104.66037
1,-3.47675,105.17239
1,-3.46954,105.1749
1,-3.46525,104.84553
1,-3.46472,104.849
1,-3.46193,104.84502
1,-3.4586,104.84452
1,-3.45489,104.86885
1,-3.43211,104.68408
1,-3.42554,105.06065
1,-3.4222,105.06014
1,-3.41941,105.05936
1,-3.4166,105.05535
1,-3.41607,105.05885
1,-3.4138,105.05135
1,-3.41327,105.05485
1,-3.40925,104.87936
1,-3.40539,104.88234
1,-3.38891,104.90121
1,-3.38587,105.28088
1,-3.37863,105.2834
1,-3.37099,105.04132
1,-3.37046,105.04482
1,-3.36926,105.03033
1,-3.36872,105.03382
1,-3.36819,105.03732
1,-3.36766,105.04082
1,-3.36646,105.02632
1,-3.36592,105.02982
1,-3.36539,105.03332
1,-3.36472,105.01534
1,-3.36419,105.01883
1,-3.36366,105.02232
1,-3.3635,105.27028
1,-3.36323,104.86887
1,-3.3623,104.89721
1,-3.36177,104.9007
1,-3.36139,105.01483
1,-3.36086,105.01833
1,-3.36032,105.02182
1,-3.35845,104.9002
1,-3.35086,105.01682
1,-3.34753,105.01633
1,-3.34725,105.06281
1,-3.34699,105.01981
1,-3.34646,105.02331
1,-3.3454,104.85196
1,-3.34445,105.05881
