Jumlah,Latitude,Longitude
1,-3.07463,105.01158
1,-3.07452,104.92244
1,-3.07236,105.0041
1,-3.07183,105.00759
1,-3.07173,104.91846
1,-3.0713,105.01108
1,-3.06744,105.01407
1,-3.0625,104.57693
1,-3.06025,105.01656
1,-3.05692,105.01606
1,-3.05632,104.70679
1,-3.05359,105.01556
1,-3.05074,104.69886
1,-3.05021,104.70232
1,-3.04742,104.69836
1,-3.01799,104.91393
1,-3.01413,104.91691
1,-3.00536,105.01902
1,-3.00203,105.01852
1,-2.99771,104.53468
1,-2.9453,104.90226
1,-2.94257,104.83073
1,-2.88454,104.67626
1,-2.86618,104.73016
1,-2.86582,104.75493
1,-2.86477,104.76186
1,-2.85938,104.70787
1,-2.85485,104.69303
1,-2.85432,104.6965
1,-3.15573,104.91279
1,-3.13544,104.91641
1,-3.16347,104.91593
1,-3.15821,104.91194
1,-3.13839,104.91478
1,-3.16227,104.91678
1,-3.16164,104.91274
1,-3.15808,104.91328
1,-3.1522,104.92245
1,-3.15158,104.91842
1,-3.14801,104.91895
1,-3.14739,104.91491
1,-3.14445,104.91949
1,-3.14382,104.91546
1,-3.1432,104.91142
1,-3.135,104.92922
1,-3.13438,104.92518
1,-2.88301,104.74938
1,-3.13969,104.9346
1,-3.13831,104.68574
1,-3.0796,104.9243
1,-3.00519,104.62734
1,-3.00445,104.63248
1,-3.00444,104.63072
1,-3.05788,104.70832
1,-3.00531,104.65812
1,-3.17671,104.66369
1,-3.17611,104.66002
1,-3.09979,104.70253
1,-3.0911,104.5444
1,-2.99448,104.84955
1,-3.20368,104.88303
1,-3.20299,104.88751
1,-3.17718,104.6615
1,-3.16949,104.83202
1,-3.03763,105.00733
1,-3.00829,105.02161
1,-3.00757,105.02621
1,-3.00451,105.02103
1,-3.00379,105.02562
1,-2.88734,104.75161
1,-2.87048,104.71268
1,-2.85836,104.69272
1,-2.75981,104.75118
1,-2.75912,104.75565
1,-2.73432,104.66998
1,-3.17277,104.66058
1,-2.76306,104.75164
1,-2.93586,104.83207
1,-2.93529,104.83596
1,-3.17658,104.66179
1,-3.16848,104.7791
1,-3.16706,104.78127
1,-2.93998,104.83868
1,-2.93996,104.83669
1,-2.93937,104.84082
43.8,-3.47,105.89
